飞机类型,飞机名称,架数
战斗机,F-CK-1经国号战斗机,"129架（F-CK-1C,D原型机移交2架，4架损毁）"
战斗机,"F-16A,B Block 20 战机",99架（原150架，9架毁损，42架已升级为F-16V规格）
战斗机,"F-16AM,BM Block 20 战机","42架（自F-16A,B Block 20升级）"
战斗机,"F-16C,D Block 70战机",（订购66架，预计2023年开始交机）
战斗机,幻影2000-5战斗机,55架（原60架，5架损毁）
战斗机,"F-5E,F 虎Ⅱ式战斗机",43架（F-5E 16架、F-5F 27架，预计2024年全数汰除）
侦察机,RF-5E虎眼式侦察机,5架
侦察机,RF-16战隼侦察机,3架
反潜机,洛克希德·马丁P-3C猎户座反潜巡逻机,12架
空中预警机,格鲁曼E-2鹰眼式空中预警机,E-2K：6架
空中预警机,洛克希德·马丁C-130HE旁立式电子干扰机,1架
运输机,洛克希德·马丁C-130H力士运输机,19架（原20架，1架损毁）
运输机,毕琪1900C,11架
运输机,福克FK50,3架
运输机,波音737-800（中华民国总统行政专机）,1架
教练机,"AT-3自强号高级教练,轻攻击机",46架
教练机,毕琪航空器T-34C初级教练机,40架
直升机,西科斯基S-70C蓝鹰直升机,S-70C-6：3架（退役1架作为备料机)
直升机,EC255超级美洲狮救难直升机,3架
直升机,UH-60M黑鹰直升机,14架（原15架，1架损毁）
无人机,腾云无人机,3架“实验性服役”
