机型,生产国,型号,获得数量,操作年代,照片,备注
,,,,,,
霍克II战斗机,美国,HAWK-II,32,1936-1940年代初,https://zh.wikipedia.org/wiki/File:Curtiss_Hawk_II_in_Chinese_service.jpg,
霍克III战斗机,美国,HAWK-III,102,1936-1940年代末期,https://zh.wikipedia.org/wiki/File:Curtiss_Model_68_Hawk_III.jpg,
伏尔提V-11攻击机,美国,,30,1936-1940年代末期,,
诺斯洛普 Gamma 2E 轻轰炸机,美国,,30,1936-1939年代末期,https://zh.wikipedia.org/wiki/File:Northrop_XA-16_on_ramp.jpg,
D510战斗机,法国,,,,,
格斗士战斗机,英国,,,,,
I-15战斗机,苏联,,,,,
I-16战斗机,苏联,,,,https://zh.wikipedia.org/wiki/File:Soviet_volunteer.jpg,
CW-21战斗机,美国,,,,,
P-36战斗机,美国,,,,,
P-40战鹰战斗机,美国,,,,,
P-66先锋式战斗机,美国,,,,https://zh.wikipedia.org/wiki/File:Vultee_P-66_of_CNAF_undergoing_maintenance.jpg,
P-43战斗机,美国,P-43A-1,,,https://zh.wikipedia.org/wiki/File:P43s_in_China.jpg,
P-51战斗机,美国,,,,"https://zh.wikipedia.org/wiki/File:P-51_of_the_Republic_of_China_Air_Force,_1953.jpg",
P-47战斗机,美国,,,,,
一式战斗机,日本,,,,,
二式战斗机,日本,,,,,
三式战斗机,日本,,,,,
四式战斗机,日本,,,,,
F-84战斗机（英语：Republic F-84 Thunderjet）,美国,F-84G,246,1953 - 1964,https://zh.wikipedia.org/wiki/File:ROCAF_F-84_130_in_Military_Airplanes_Display_Area_20111015.jpg,
F-86战斗机,美国,F-86D／F,338,1950年代 - 1977,https://zh.wikipedia.org/wiki/File:ROCAF_F-86_6408_in_Military_Airplanes_Display_Area_20111015.jpg,F型320架、D型18架
F-100超级军刀战斗机,美国,F-100A,137,1960 - 1984,https://zh.wikipedia.org/wiki/File:ROCAF_F-100A_0141_in_Hsinchu_AFB_Left_View_20120602.jpg,
F-104星式战斗机,美国,F-104A／B／C／D／G／J,247,1959 - 1998,https://zh.wikipedia.org/wiki/File:ROCAF_F-104J_4522_in_Chengkungling_Oct2011.jpg,
F-5自由斗士战斗机,美国,"F-5A,B",115,1965 - 1987,https://zh.wikipedia.org/wiki/File:ROCAF_F-5B_Display_in_Chengkungling_20121006.jpg,48架在1972年转移给南越空军
,,,,,,
P-2海王星巡逻机,美国,P2V,?,1950年代 -?,,
PB4Y-2巡逻机（英语：Consolidated PB4Y-2 Privateer）,美国,PB4Y-2,?,1950年代 - 1960年代,,
,,,,,,
P-3猎户座海上巡逻机,美国,P-3A,3,1966 - 1967,,
S-2搜索者巡逻机,美国,"S-2A,E,T,G",32,1967 - 2017,https://zh.wikipedia.org/wiki/File:ROCAF_Grumman_S-2E_Tracker_(G-121)_Aoki-1.jpg,
,,,,,,
,,,,,,
A-16攻击机,美国,A16,47,1937 - 1945,https://zh.wikipedia.org/wiki/File:Northrop_XA-16_on_ramp.jpg,
AT-6攻击机,美国,A16,47,1936 - 1960,,
A-12攻击机,美国,,未知,未知,https://zh.wikipedia.org/wiki/File:Curtiss_A-12_ROCAF.jpg,又称许来克机（Shrike）
"V-11,V-12攻击机",美国,,未知,未知,,
,,,,,,
蚊式轰炸机,英国,FB-26,205,1948 - 1953,,
B-10轰炸机,美国,马丁139WC,9,1936 - 1945,,
B-25轰炸机,美国,"B-25C,D,J",180,1943 - 1960,,
B-24轰炸机,美国,"B-24M,PB4Y-2哨戒机",48,1942 - 1960,,
B-26轰炸机,美国,"B-26B,B-26C侦察机",未知,1953-1969,,
Hs 123俯冲轰炸机,德国,,未知,未知,https://zh.wikipedia.org/wiki/File:Henschel_Hs_123_on_ground.jpg,
,,,,,,
C-45运输机,美国,,,,,
C-46运输机,美国,,,,https://zh.wikipedia.org/wiki/File:C-46_taiwan.jpg,
C-47运输机,美国,,,,,
C-119运输机,美国,,超过100架,1958 - 1997,https://zh.wikipedia.org/wiki/File:ROCAF_C-119_in_Military_Airplanes_Display_Area_20111015.jpg,
C-123运输机,美国,,,1962 - 1981,https://zh.wikipedia.org/wiki/File:ROCAF_C-123_in_Military_Airplanes_Display_Area_20111015.jpg,
,,,,,,
,,,,,,
UH-1直升机,美国,HH-1HV:9架UH-1H:7架,16架,1970 - 1986,https://zh.wikipedia.org/wiki/File:UH-1H_Warming_up_at_ROCA_Infantry_School_20120211.jpg,中华民国空军之UH-1直升机除役后都移交中华民国陆军服役
S-70C,美国,S-70C-1：13架,13,1986 - 2020,https://zh.wikipedia.org/wiki/File:ROCAF_S-70C_Flying_above_Songshan_Air_Force_Base_(cropped).jpg,
S-70C,美国,S-70C-6：3架（将退役1架）,3,1986 -,https://zh.wikipedia.org/wiki/File:ROCAF_Sikorsky_S-70C-1A_Bluehawk_Aoki-1.jpg,
,,,,,,
美龄号,美国,C-47运输机,1,1945 - 1995,https://zh.wikipedia.org/wiki/File:ROCAF_C-47_Mei-Lin_Special_Mission_Plane_20111015.jpg,中美号服役后作为行政专机使用
中美号,美国,"DC-6B,C-118",2,1966 - 1980年代,https://zh.wikipedia.org/wiki/File:ROCAF_C-118_in_Military_Airplanes_Display_Area_20111015.jpg,中美号喷射专机服役后作为行政专机使用
中美号,美国,波音720B,1,1971 - 1991,https://zh.wikipedia.org/wiki/File:ROCAF_B-720_Chung-Mei_Special_Mission_Plane_20111015.jpg,1970年自美国西北航空公司购得
727总统专机(空军一号),美国,波音727,4,1991 - 1998,https://zh.wikipedia.org/wiki/File:ROCAF_Boeing_727-100_2722_at_Ching_Chuang_Kang_Air_Force_Base_20161126.jpg,1990年自中华航空公司购得
